FLL 2026-27 BIOGLOW — Team Fund Worksheet,,,,,,
,,,,,,
Season,BIOGLOW 2026-27 (5 students),,,,,
Last updated,,,,,,
,,,,,,
CONTRIBUTIONS,,,,,,
Family,Slot,Expected,Received,Date received,Method,Notes
Family 1,Kid 1,200.00,,,,
Family 2,Kid 2,200.00,,,,
Family 3,Kid 3,200.00,,,,
Family 4,Kid 4,200.00,,,,
Family 5,Kid 5,200.00,,,,
TOTAL,,=SUM(C8:C12),=SUM(D8:D12),,,
,,,,,,
EXPENSES,,,,,,
Date,Item,Category,Amount,Paid by,Reimbursed?,Receipt on file?
Aug 2026,Team registration and robot kit,Startup,440.23,,,Split into two rows when the receipts are to hand
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TOTAL,,,=SUM(D17:D29),,,
,,,,,,
SUMMARY,,,,,,
Total expected (5 families at 200),=C13,,,,,
Total received so far,=D13,,,,,
Total spent so far,=D30,,,,,
Cash in hand (received less spent),=D13-D30,,,,,
Balance if all contributions come in,=C13-D30,,,,,
Still to collect,=C13-D13,,,,,
,,,,,,
ANTICIPATED EXPENSES,,,,,,
Item,Estimate,How necessary,Notes,,,
Printing the Engineering Notebook,,Essential,Colour printing adds up,,,
Travel to the competition,,Essential,Early November,,,
Competition table and border walls,,Recommended,"Timber, per the official Table Building Instructions. Matches are played on tables and robots behave differently on them.",,,
Spare motors,,Recommended,Medium angular motors fail most often,,,
Spare LEGO parts,,Recommended,"Beams, pins, axles",,,
Storage boxes,,Recommended,Sorted parts save real time every session,,,
Spare hub,,Optional,A dead hub on competition day ends the season,,,
Team shirts,,Optional,,,,
Judge handouts,,Optional,A few printed copies,,,
Snacks across 26 meetings,,Optional,Adds up more than you would think,,,
TOTAL ESTIMATED,=SUM(B42:B51),,,,,
,,,,,,
NOTES,,,,,,
"The 440.23 covers team registration and the robot kit together. Split it into two rows once the receipts are available, in case a school or PTA reimburses part of it.",,,,,,
Family names are deliberately not in this file. The slots map to names in docs/team-roster.md.,,,,,,
Keep every receipt.,,,,,,
"If contributions fall short, the competition table and the spare hub are the two things to drop first. Neither stops you competing.",,,,,,
